Title,Company,Location,JobDescription
Foreign National Student Intern,"American Embassy, Yerevan","Yerevan, Armenia","Intern will primarily be responsible for assisting the
Cultural Affairs Assistant and Cultural Exchanges Coordinator in
planning and organizing summer cultural events, such as concerts and
film festivals and U.S. speaker/specialist lectures and events."
Deputy Chief of Party/Targeted Media Loan Division,International Research & Exchanges Board (IREX),IREX Media Innovations Program/Armenia,"IREX currently seeks to fill the position of Deputy
Chief of Party/Targeted Media Loan Division. The position will report to
the Chief of Party of the Media Innovations Program/Armenia."
Foreign National Student Intern,"American Embassy, Yerevan","Yerevan, Armenia","Intern will work primarily on the PAS administered
Democracy Commission grants program: assisting with program monitoring
activities, assisting in evaluating mid-grant and final reports, etc."
Graphic Designer,UMCOR Armenia,"Yerevan, Armenia","UMCOR Armenia seeks professionals to design
information materials (posters, leaflets) for awareness raising campaign
conducted by UMCOR in the framework of Counter-Trafficking project."
Web Designer/ Developer,CIT Ltd,"Yerevan, Armenia","CIT is looking for A qualified Web Designer/ Developer
to deal with web-development projects."
Web Designer/ Developer,Project Harmony - Armenia,"Yerevan, Armenia","Project Harmony - Armenia seeks qualified Web
Designer/ Developer to deal with web-development projects."
Senior Expert  Economic Development Programs,Shirak Competitiveness Center (SCC),"Yerevan, Armenia","The Shirak Competitiveness Center (SCC), based in
Gyumri, urgently seeks an experienced individual to manage economic and
business development programs in Shirak Marz. The position will be based
in Gyumri and preference will be given to individuals either from Shirak
Marz or those familiar with the region. The successful candidate will
begin work early in July."
Alumni Coordinator,International Research & Exchanges Board (IREX),"Yerevan, Armenia","IREX currently seeks to fill the position of Alumni
Coordinator for Internet Access and Training Program (IATP). The
position is based in the Yerevan IREX/IATP office, however applicants
must be willing to travel throughout Armenia as necessary.  This
position reports directly to the IATP Armenia Country Coordinator."
International Banking and Financial Sector Expert,"IOS Partners, Inc.","Florida, USA","IOS Partners Inc., a U.S. based International
Consulting Firm, is seeking senior bank and non-bank financial sector
experts, prudential bank supervision and bank restructuring experts
interested in long and short-term assignment."
Leather and Textile Industry Expert,"IOS Partners, Inc.","Florida, USA","IOS Partners Inc., a U.S. based International
Consulting Firm, is seeking candidates for potential long and short-term
international project."
Privatization Expert,"IOS Partners, Inc.","Florida, USA","IOS Partners Inc., a U.S. based International
Consulting Firm, is seeking candidates for potential long and short-term
international project."
Pensions and Social Insurance Expert,"IOS Partners, Inc.","Florida, USA","IOS Partners Inc., a U.S. based International
Consulting Firm, is seeking senior pension and social insurance experts
interested in long and short-term assignment worldwide. IOS Partners
currently has on-going insurance sector/ pension reform/ social
security/ social insurance/ social investment funds/ social delivery
benefit administration/ poverty reduction/ NGO development/ public
administration reform related projects and opportunities in Eastern
Europe, Southeast, South and Central Asia, Africa and Latin America."
Submitting Announcements Online at careercenter.am,Career Center,"All
NEWS DETAILS:  We are pleased to announce that from now on everyone can
submit their announcements online through our website. So please do not
send any announcement by e-mail, as you used to do so before. Just click
on the ""Post an Announcement"" link, choose the type of announcement you
need, fill out the form fields and submit it for approval.
AUTHOR:  Career Center Team",NA
Receptionist,American Bar Association / Central European and Eurasian Law Initiative,"Yerevan, Armenia",N/A
Head of Corporate Customers Department,"ProCredit Bank, Georgia",Georgia,"ProCredit Bank, Georgia is looking for Head of
Corporate Customers Department for its Head Office. The Head of
Corporate Customers Department reports to the CEO."
Microlending Unit Manager,Small Enterprise Lending Programme (SELP),"Batumi, Georgia","Small Enterprise Lending Programme (SELP) of European
Bank for Reconstruction and Development (EBRD) is seeking for qualified
candidates for the position of Microlending Unit Manager for partner
bank Batumi Branch."
Unit Lawyer/Administrator,Small Enterprise Lending Programme (SELP),"Batumi, Georgia","Small Enterprise Lending Programme (SELP) of European
Bank for Reconstruction and Development (EBRD) is seeking for qualified
candidates for the position of Unit Lawyer/Administrator for partner
bank Batumi Branch."
Credit Methodology Expert,"ProCredit Bank, Georgia","Tbilisi, Georgia","ProCredit Bank, Georgia announces the vacancy for the
position of Credit Methodology Expert."
Microloan Officer,Small Enterprise Lending Programme (SELP),"Batumi, Georgia","Small Enterprise Lending Programme (SELP) of European
Bank for Reconstruction and Development (EBRD) is seeking for qualified
candidates for the position of Microloan Officer for partner bank Batumi
Branch.
Selected candidates will go through the theoretical and practical
trainings and work within a team of international and local consultants
and will be responsible for the successful and stable development of the
programme."
Project Manager,The Foundation Internews Georgia,"Tbilisi, Georgia","The Foundation Internews Georgia is seeking a
qualified candidate for the full time position of Project Manager."
Administrative Assistant/Receptionist,Foundation Internews Georgia,"Tbilisi, Georgia","The Foundation Internews Georgia is seeking a
qualified candidate for the full time position of Administrative
Assistant/Receptionist."
"Country Coordinators Russia, Azerbaijan, Armenia",OSI International Higher Education Support Program (HESP),Country Office,"Country Coordinators will report directly to the
Region Managers. They will be responsible for the management and
implementation of the fellowship programs and projects in their target
countries: for coordinating all recruitment, selection, placement
procedures; university relations; strategy evelopment; program,
administrative and financial matters."
Receptionist,American Bar Association / Central European and Eurasian Law Initiative,"Tbilisi, Georgia",N/A
Manager of Foreign Relations Department,Meddental,"Yerevan, Armenia","Coordination and management of public relations with
oversea local parners and clientele."
Senior Expert  Economic Development Programs,Shirak Competitiveness Center (SCC),"Gyumri, Armenia","The Shirak Competitiveness Center (SCC), based in
Gyumri, urgently seeks an experienced individual to manage economic and
business development programs in Shirak Marz. The position will be based
in Gyumri and preference will be given to individuals either from Shirak
Marz or those familiar with the region. The successful candidate will
begin work early in July."
Research Analyst,Japonica Intersectoral,"Yerevan, Armenia","Japonica Intersectoral is seeking 4 to 6 individuals
for full-time positions of Research Analyst at its Yerevan Office.
Research Analysts go through intensive training to learn Japonica
Intersectorals internal research and writing processes.  Ongoing
training offers Research Analysts the opportunity to develop their
research and analytical skills while building specific knowledge in one
or two areas of concentration.  The current areas of concentration
include economic and export development, tourism, microfinance,
anticorruption, and the media & press.
The excellent training prepares analysts to assume positions of
increased responsibility and Japonica Intersectorals continued growth
offers analysts the benefits of career growth opportunities with
top-tier compensation."
